date,year,quarter,quarter_label,month,month_name,month_short,year_month,day,day_of_week,day_name,is_weekend,week_of_year
2008-04-09,2008,2,Q2,4,April,Apr,2008-04,9,3,Wednesday,False,15
2008-04-10,2008,2,Q2,4,April,Apr,2008-04,10,4,Thursday,False,15
2008-04-11,2008,2,Q2,4,April,Apr,2008-04,11,5,Friday,False,15
2008-04-12,2008,2,Q2,4,April,Apr,2008-04,12,6,Saturday,True,15
2008-04-13,2008,2,Q2,4,April,Apr,2008-04,13,7,Sunday,True,15
2008-04-14,2008,2,Q2,4,April,Apr,2008-04,14,1,Monday,False,16
2008-04-15,2008,2,Q2,4,April,Apr,2008-04,15,2,Tuesday,False,16
2008-04-16,2008,2,Q2,4,April,Apr,2008-04,16,3,Wednesday,False,16
2008-04-17,2008,2,Q2,4,April,Apr,2008-04,17,4,Thursday,False,16
2008-04-18,2008,2,Q2,4,April,Apr,2008-04,18,5,Friday,False,16
2008-04-19,2008,2,Q2,4,April,Apr,2008-04,19,6,Saturday,True,16
2008-04-20,2008,2,Q2,4,April,Apr,2008-04,20,7,Sunday,True,16
2008-04-21,2008,2,Q2,4,April,Apr,2008-04,21,1,Monday,False,17
2008-04-22,2008,2,Q2,4,April,Apr,2008-04,22,2,Tuesday,False,17
2008-04-23,2008,2,Q2,4,April,Apr,2008-04,23,3,Wednesday,False,17
2008-04-24,2008,2,Q2,4,April,Apr,2008-04,24,4,Thursday,False,17
2008-04-25,2008,2,Q2,4,April,Apr,2008-04,25,5,Friday,False,17
2008-04-26,2008,2,Q2,4,April,Apr,2008-04,26,6,Saturday,True,17
2008-04-27,2008,2,Q2,4,April,Apr,2008-04,27,7,Sunday,True,17
2008-04-28,2008,2,Q2,4,April,Apr,2008-04,28,1,Monday,False,18
2008-04-29,2008,2,Q2,4,April,Apr,2008-04,29,2,Tuesday,False,18
2008-04-30,2008,2,Q2,4,April,Apr,2008-04,30,3,Wednesday,False,18
2008-05-01,2008,2,Q2,5,May,May,2008-05,1,4,Thursday,False,18
2008-05-02,2008,2,Q2,5,May,May,2008-05,2,5,Friday,False,18
2008-05-03,2008,2,Q2,5,May,May,2008-05,3,6,Saturday,True,18
2008-05-04,2008,2,Q2,5,May,May,2008-05,4,7,Sunday,True,18
2008-05-05,2008,2,Q2,5,May,May,2008-05,5,1,Monday,False,19
2008-05-06,2008,2,Q2,5,May,May,2008-05,6,2,Tuesday,False,19
2008-05-07,2008,2,Q2,5,May,May,2008-05,7,3,Wednesday,False,19
2008-05-08,2008,2,Q2,5,May,May,2008-05,8,4,Thursday,False,19
2008-05-09,2008,2,Q2,5,May,May,2008-05,9,5,Friday,False,19
2008-05-10,2008,2,Q2,5,May,May,2008-05,10,6,Saturday,True,19
2008-05-11,2008,2,Q2,5,May,May,2008-05,11,7,Sunday,True,19
2008-05-12,2008,2,Q2,5,May,May,2008-05,12,1,Monday,False,20
2008-05-13,2008,2,Q2,5,May,May,2008-05,13,2,Tuesday,False,20
2008-05-14,2008,2,Q2,5,May,May,2008-05,14,3,Wednesday,False,20
2008-05-15,2008,2,Q2,5,May,May,2008-05,15,4,Thursday,False,20
2008-05-16,2008,2,Q2,5,May,May,2008-05,16,5,Friday,False,20
2008-05-17,2008,2,Q2,5,May,May,2008-05,17,6,Saturday,True,20
2008-05-18,2008,2,Q2,5,May,May,2008-05,18,7,Sunday,True,20
2008-05-19,2008,2,Q2,5,May,May,2008-05,19,1,Monday,False,21
2008-05-20,2008,2,Q2,5,May,May,2008-05,20,2,Tuesday,False,21
2008-05-21,2008,2,Q2,5,May,May,2008-05,21,3,Wednesday,False,21
2008-05-22,2008,2,Q2,5,May,May,2008-05,22,4,Thursday,False,21
2008-05-23,2008,2,Q2,5,May,May,2008-05,23,5,Friday,False,21
2008-05-24,2008,2,Q2,5,May,May,2008-05,24,6,Saturday,True,21
2008-05-25,2008,2,Q2,5,May,May,2008-05,25,7,Sunday,True,21
2008-05-26,2008,2,Q2,5,May,May,2008-05,26,1,Monday,False,22
2008-05-27,2008,2,Q2,5,May,May,2008-05,27,2,Tuesday,False,22
2008-05-28,2008,2,Q2,5,May,May,2008-05,28,3,Wednesday,False,22
2008-05-29,2008,2,Q2,5,May,May,2008-05,29,4,Thursday,False,22
2008-05-30,2008,2,Q2,5,May,May,2008-05,30,5,Friday,False,22
2008-05-31,2008,2,Q2,5,May,May,2008-05,31,6,Saturday,True,22
2008-06-01,2008,2,Q2,6,June,Jun,2008-06,1,7,Sunday,True,22
2008-06-02,2008,2,Q2,6,June,Jun,2008-06,2,1,Monday,False,23
2008-06-03,2008,2,Q2,6,June,Jun,2008-06,3,2,Tuesday,False,23
2008-06-04,2008,2,Q2,6,June,Jun,2008-06,4,3,Wednesday,False,23
2008-06-05,2008,2,Q2,6,June,Jun,2008-06,5,4,Thursday,False,23
2008-06-06,2008,2,Q2,6,June,Jun,2008-06,6,5,Friday,False,23
2008-06-07,2008,2,Q2,6,June,Jun,2008-06,7,6,Saturday,True,23
2008-06-08,2008,2,Q2,6,June,Jun,2008-06,8,7,Sunday,True,23
2008-06-09,2008,2,Q2,6,June,Jun,2008-06,9,1,Monday,False,24
2008-06-10,2008,2,Q2,6,June,Jun,2008-06,10,2,Tuesday,False,24
2008-06-11,2008,2,Q2,6,June,Jun,2008-06,11,3,Wednesday,False,24
2008-06-12,2008,2,Q2,6,June,Jun,2008-06,12,4,Thursday,False,24
2008-06-13,2008,2,Q2,6,June,Jun,2008-06,13,5,Friday,False,24
2008-06-14,2008,2,Q2,6,June,Jun,2008-06,14,6,Saturday,True,24
2008-06-15,2008,2,Q2,6,June,Jun,2008-06,15,7,Sunday,True,24
2008-06-16,2008,2,Q2,6,June,Jun,2008-06,16,1,Monday,False,25
2008-06-17,2008,2,Q2,6,June,Jun,2008-06,17,2,Tuesday,False,25
2008-06-18,2008,2,Q2,6,June,Jun,2008-06,18,3,Wednesday,False,25
2008-06-19,2008,2,Q2,6,June,Jun,2008-06,19,4,Thursday,False,25
2008-06-20,2008,2,Q2,6,June,Jun,2008-06,20,5,Friday,False,25
2008-06-21,2008,2,Q2,6,June,Jun,2008-06,21,6,Saturday,True,25
2008-06-22,2008,2,Q2,6,June,Jun,2008-06,22,7,Sunday,True,25
2008-06-23,2008,2,Q2,6,June,Jun,2008-06,23,1,Monday,False,26
2008-06-24,2008,2,Q2,6,June,Jun,2008-06,24,2,Tuesday,False,26
2008-06-25,2008,2,Q2,6,June,Jun,2008-06,25,3,Wednesday,False,26
2008-06-26,2008,2,Q2,6,June,Jun,2008-06,26,4,Thursday,False,26
2008-06-27,2008,2,Q2,6,June,Jun,2008-06,27,5,Friday,False,26
2008-06-28,2008,2,Q2,6,June,Jun,2008-06,28,6,Saturday,True,26
2008-06-29,2008,2,Q2,6,June,Jun,2008-06,29,7,Sunday,True,26
2008-06-30,2008,2,Q2,6,June,Jun,2008-06,30,1,Monday,False,27
2008-07-01,2008,3,Q3,7,July,Jul,2008-07,1,2,Tuesday,False,27
2008-07-02,2008,3,Q3,7,July,Jul,2008-07,2,3,Wednesday,False,27
2008-07-03,2008,3,Q3,7,July,Jul,2008-07,3,4,Thursday,False,27
2008-07-04,2008,3,Q3,7,July,Jul,2008-07,4,5,Friday,False,27
2008-07-05,2008,3,Q3,7,July,Jul,2008-07,5,6,Saturday,True,27
2008-07-06,2008,3,Q3,7,July,Jul,2008-07,6,7,Sunday,True,27
2008-07-07,2008,3,Q3,7,July,Jul,2008-07,7,1,Monday,False,28
2008-07-08,2008,3,Q3,7,July,Jul,2008-07,8,2,Tuesday,False,28
2008-07-09,2008,3,Q3,7,July,Jul,2008-07,9,3,Wednesday,False,28
2008-07-10,2008,3,Q3,7,July,Jul,2008-07,10,4,Thursday,False,28
2008-07-11,2008,3,Q3,7,July,Jul,2008-07,11,5,Friday,False,28
2008-07-12,2008,3,Q3,7,July,Jul,2008-07,12,6,Saturday,True,28
2008-07-13,2008,3,Q3,7,July,Jul,2008-07,13,7,Sunday,True,28
2008-07-14,2008,3,Q3,7,July,Jul,2008-07,14,1,Monday,False,29
2008-07-15,2008,3,Q3,7,July,Jul,2008-07,15,2,Tuesday,False,29
2008-07-16,2008,3,Q3,7,July,Jul,2008-07,16,3,Wednesday,False,29
2008-07-17,2008,3,Q3,7,July,Jul,2008-07,17,4,Thursday,False,29
2008-07-18,2008,3,Q3,7,July,Jul,2008-07,18,5,Friday,False,29
2008-07-19,2008,3,Q3,7,July,Jul,2008-07,19,6,Saturday,True,29
2008-07-20,2008,3,Q3,7,July,Jul,2008-07,20,7,Sunday,True,29
2008-07-21,2008,3,Q3,7,July,Jul,2008-07,21,1,Monday,False,30
2008-07-22,2008,3,Q3,7,July,Jul,2008-07,22,2,Tuesday,False,30
2008-07-23,2008,3,Q3,7,July,Jul,2008-07,23,3,Wednesday,False,30
2008-07-24,2008,3,Q3,7,July,Jul,2008-07,24,4,Thursday,False,30
2008-07-25,2008,3,Q3,7,July,Jul,2008-07,25,5,Friday,False,30
2008-07-26,2008,3,Q3,7,July,Jul,2008-07,26,6,Saturday,True,30
2008-07-27,2008,3,Q3,7,July,Jul,2008-07,27,7,Sunday,True,30
2008-07-28,2008,3,Q3,7,July,Jul,2008-07,28,1,Monday,False,31
2008-07-29,2008,3,Q3,7,July,Jul,2008-07,29,2,Tuesday,False,31
2008-07-30,2008,3,Q3,7,July,Jul,2008-07,30,3,Wednesday,False,31
2008-07-31,2008,3,Q3,7,July,Jul,2008-07,31,4,Thursday,False,31
2008-08-01,2008,3,Q3,8,August,Aug,2008-08,1,5,Friday,False,31
2008-08-02,2008,3,Q3,8,August,Aug,2008-08,2,6,Saturday,True,31
2008-08-03,2008,3,Q3,8,August,Aug,2008-08,3,7,Sunday,True,31
2008-08-04,2008,3,Q3,8,August,Aug,2008-08,4,1,Monday,False,32
2008-08-05,2008,3,Q3,8,August,Aug,2008-08,5,2,Tuesday,False,32
2008-08-06,2008,3,Q3,8,August,Aug,2008-08,6,3,Wednesday,False,32
2008-08-07,2008,3,Q3,8,August,Aug,2008-08,7,4,Thursday,False,32
2008-08-08,2008,3,Q3,8,August,Aug,2008-08,8,5,Friday,False,32
2008-08-09,2008,3,Q3,8,August,Aug,2008-08,9,6,Saturday,True,32
2008-08-10,2008,3,Q3,8,August,Aug,2008-08,10,7,Sunday,True,32
2008-08-11,2008,3,Q3,8,August,Aug,2008-08,11,1,Monday,False,33
2008-08-12,2008,3,Q3,8,August,Aug,2008-08,12,2,Tuesday,False,33
2008-08-13,2008,3,Q3,8,August,Aug,2008-08,13,3,Wednesday,False,33
2008-08-14,2008,3,Q3,8,August,Aug,2008-08,14,4,Thursday,False,33
2008-08-15,2008,3,Q3,8,August,Aug,2008-08,15,5,Friday,False,33
2008-08-16,2008,3,Q3,8,August,Aug,2008-08,16,6,Saturday,True,33
2008-08-17,2008,3,Q3,8,August,Aug,2008-08,17,7,Sunday,True,33
2008-08-18,2008,3,Q3,8,August,Aug,2008-08,18,1,Monday,False,34
2008-08-19,2008,3,Q3,8,August,Aug,2008-08,19,2,Tuesday,False,34
2008-08-20,2008,3,Q3,8,August,Aug,2008-08,20,3,Wednesday,False,34
2008-08-21,2008,3,Q3,8,August,Aug,2008-08,21,4,Thursday,False,34
2008-08-22,2008,3,Q3,8,August,Aug,2008-08,22,5,Friday,False,34
2008-08-23,2008,3,Q3,8,August,Aug,2008-08,23,6,Saturday,True,34
2008-08-24,2008,3,Q3,8,August,Aug,2008-08,24,7,Sunday,True,34
